student_id,assignment_1,assignment_2,assignment_3,attendance,study_hours,past_gpa,final_score,pass_fail,grade
45,42.8,46.1,40.7,67.5,11.0,8.4,52.3,1,C
46,54.2,60.1,63.7,79.0,16.6,6.38,63.1,1,B
47,58.1,62.4,62.3,79.4,14.6,8.05,51.3,1,C
48,80.9,100.0,100.0,71.5,7.6,10.0,85.5,1,A
49,70.2,67.1,75.2,63.2,13.4,6.84,65.2,1,B
50,38.6,36.4,52.9,64.6,0.9,7.59,47.4,1,D
51,69.9,66.9,71.4,61.3,15.6,5.89,53.1,1,C
52,59.2,56.8,59.8,62.5,13.8,7.27,71.0,1,B+
53,54.8,51.7,53.9,74.0,15.8,7.69,58.3,1,C
54,74.2,85.7,84.6,64.3,18.3,7.29,78.0,1,B+
55,80.5,93.9,96.9,85.2,14.2,5.47,91.3,1,A+
56,79.0,76.4,75.6,97.3,12.9,7.31,87.9,1,A
57,52.4,47.7,49.7,66.3,6.7,9.19,56.2,1,C
58,60.4,66.2,75.1,78.6,7.7,7.67,71.4,1,B+
59,70.0,67.6,62.6,82.5,19.1,8.44,68.2,1,B
60,79.6,86.7,94.5,82.1,20.6,6.64,82.8,1,A
61,57.8,61.4,70.3,76.1,10.6,8.12,61.2,1,B
62,62.2,52.1,52.4,86.1,12.3,7.42,53.7,1,C
63,48.4,62.8,51.1,82.2,6.6,5.57,51.4,1,C
64,47.1,63.5,60.9,56.4,19.0,7.48,50.4,1,C
65,77.2,74.3,83.1,88.0,16.0,5.51,75.6,1,B+
66,85.3,84.2,85.1,88.3,23.6,6.05,73.7,1,B+
67,63.9,68.2,63.2,63.6,6.7,7.28,63.6,1,B
68,80.1,84.8,82.8,75.6,9.7,7.45,78.1,1,B+
69,70.4,77.7,83.7,85.2,13.4,5.22,75.3,1,B+
70,55.3,73.4,77.7,71.9,15.9,8.58,65.9,1,B
71,70.4,71.0,70.6,91.1,10.7,7.86,86.0,1,A
72,88.1,83.7,82.5,100.0,6.8,5.94,88.2,1,A
73,64.5,55.5,54.1,63.2,17.3,4.69,50.4,1,C
74,88.5,84.7,80.2,54.3,16.3,6.78,79.0,1,B+
75,25.7,27.4,38.1,79.6,6.5,6.33,33.4,0,F
76,77.3,93.7,92.8,85.8,20.1,7.17,79.7,1,B+
77,66.3,64.2,72.5,71.5,19.0,6.46,60.0,1,B
78,60.5,64.3,74.4,96.8,12.8,3.99,68.6,1,B
79,66.4,68.3,75.3,54.9,12.5,6.42,62.8,1,B
80,35.2,46.7,45.1,85.4,15.3,6.54,52.2,1,C
81,61.7,83.9,87.3,65.9,6.8,7.95,78.8,1,B+
82,70.4,68.2,69.1,100.0,12.2,5.95,76.4,1,B+
83,87.2,85.3,80.9,100.0,0.0,9.52,77.9,1,B+
84,57.2,67.6,70.5,63.5,17.3,4.13,64.9,1,B
85,52.9,60.4,54.3,66.8,2.6,8.97,59.2,1,C
86,57.5,74.3,82.4,87.9,21.0,6.66,69.5,1,B
87,78.7,85.4,83.6,69.2,10.0,8.29,74.3,1,B+
88,69.9,69.0,71.2,74.3,10.7,7.12,76.2,1,B+
89,57.1,63.8,66.5,75.4,8.2,8.71,64.0,1,B
90,72.7,83.6,83.0,46.2,10.3,6.42,76.0,1,B+
91,66.5,75.1,79.6,74.8,20.5,5.35,67.4,1,B
92,79.5,85.6,83.8,64.7,0.0,9.13,71.4,1,B+
93,54.5,65.0,71.2,67.6,19.7,6.83,60.5,1,B
94,60.1,71.5,64.4,96.7,14.0,7.33,66.3,1,B
95,59.1,72.2,74.0,56.2,4.8,8.85,60.2,1,B
96,43.0,50.2,62.8,87.2,5.5,5.45,54.1,1,C
97,69.4,70.1,65.1,70.8,22.1,7.89,59.2,1,C
98,68.9,72.1,69.0,70.8,6.3,6.12,61.1,1,B
99,65.1,76.8,80.9,86.9,5.1,6.8,75.7,1,B+
100,61.5,57.0,59.1,80.1,18.8,7.11,63.8,1,B
101,43.8,48.7,51.8,83.6,14.0,4.75,48.8,1,D
102,58.7,57.6,61.5,89.5,6.4,5.83,54.9,1,C
103,59.9,62.1,66.9,70.0,13.3,9.03,58.3,1,C
104,53.0,65.2,72.9,65.8,5.8,8.33,60.9,1,B
105,62.6,66.1,69.6,58.7,18.6,6.91,67.5,1,B
106,71.1,73.5,73.1,62.6,18.4,7.36,74.5,1,B+
107,93.3,84.4,89.4,100.0,15.2,6.56,83.6,1,A
108,67.6,75.6,88.0,93.7,14.2,9.03,71.7,1,B+
109,68.9,76.1,76.3,54.7,22.6,6.7,71.6,1,B+
110,63.9,83.2,78.4,55.2,12.0,7.35,66.6,1,B
111,36.2,35.7,43.3,82.2,4.9,8.72,41.4,1,D
112,64.6,68.4,68.7,83.2,14.7,5.83,73.2,1,B+
113,65.9,69.9,57.9,83.2,24.5,9.34,70.9,1,B+
114,100.0,100.0,100.0,71.2,5.9,4.7,90.8,1,A+
115,62.1,63.3,61.1,73.1,9.8,9.44,56.3,1,C
116,69.5,73.7,74.2,79.9,14.5,6.44,71.8,1,B+
117,64.5,71.4,74.4,76.3,11.7,6.64,73.7,1,B+
118,47.5,51.0,53.1,41.7,6.1,4.16,45.5,1,D
119,82.1,80.5,85.8,71.6,18.7,6.32,85.3,1,A
120,76.3,79.9,78.3,62.2,25.9,5.44,80.5,1,A
121,76.9,87.5,91.6,77.6,13.2,6.09,89.0,1,A
122,51.4,45.2,44.6,100.0,6.6,6.79,53.1,1,C
123,86.0,89.1,94.5,80.5,2.7,8.44,87.6,1,A
124,44.0,40.4,45.1,70.3,13.5,7.31,53.7,1,C
125,73.8,85.4,80.8,88.8,18.6,7.46,80.7,1,A
126,97.9,87.7,95.2,82.2,14.9,5.36,84.8,1,A
127,50.1,47.6,45.4,81.3,12.0,5.68,48.0,1,D
128,56.5,61.5,67.3,84.1,8.5,9.7,65.0,1,B
129,66.5,81.0,84.2,100.0,5.4,5.9,69.2,1,B
130,57.4,58.9,70.9,58.0,17.0,9.48,61.9,1,B
131,41.7,39.3,39.0,82.1,17.5,6.64,50.7,1,C
132,66.0,83.0,81.9,61.1,2.7,7.0,60.7,1,B
133,49.1,39.5,40.4,83.3,21.5,8.61,56.7,1,C
134,72.1,56.5,55.7,61.2,15.4,8.91,66.6,1,B
135,51.2,56.7,62.5,68.7,20.4,6.83,55.8,1,C
136,88.2,86.2,77.5,70.6,3.9,6.42,80.2,1,A
137,53.3,47.1,41.8,89.6,3.8,6.92,50.5,1,C
138,60.2,67.9,62.5,88.8,11.1,7.51,70.7,1,B+
139,77.2,81.2,87.9,56.3,15.0,8.34,82.2,1,A
140,46.5,44.0,55.3,75.8,22.8,7.01,45.6,1,D
141,68.4,60.2,60.6,64.4,16.2,7.93,65.3,1,B
142,84.6,93.6,93.6,56.1,10.5,9.46,83.0,1,A
143,40.9,48.1,49.5,71.7,5.8,7.57,49.0,1,D
144,67.8,69.0,77.0,70.4,19.4,7.47,66.4,1,B
145,68.9,85.7,81.1,100.0,6.2,4.72,84.7,1,A
146,76.7,70.1,72.5,81.5,21.8,3.05,75.5,1,B+
147,46.4,36.2,43.1,54.3,10.3,7.58,40.1,1,D
148,45.2,41.7,45.7,66.5,21.5,6.86,41.0,1,D
149,72.8,74.4,76.5,90.3,16.1,6.23,71.6,1,B+
150,69.5,73.4,80.4,100.0,11.2,7.37,76.8,1,B+
151,68.8,68.9,53.7,51.2,8.9,6.91,61.2,1,B
152,70.2,75.0,80.1,46.8,10.0,8.69,76.6,1,B+
153,54.8,46.8,43.9,100.0,14.6,7.13,57.5,1,C
154,68.5,82.1,72.1,80.8,12.5,5.88,76.4,1,B+
155,69.4,70.7,74.8,62.0,8.4,8.49,70.4,1,B+
156,54.3,65.2,74.4,83.0,11.0,6.67,58.0,1,C
157,93.0,97.7,97.9,35.5,12.5,7.79,84.8,1,A
158,72.1,77.8,84.5,75.1,0.0,6.28,78.8,1,B+
159,47.1,53.7,64.4,79.9,14.7,6.03,56.7,1,C
160,74.8,80.4,89.3,88.9,6.1,7.13,81.2,1,A
161,50.4,57.5,68.3,59.8,5.1,7.02,55.9,1,C
162,76.8,89.4,94.9,76.3,1.9,7.72,76.6,1,B+
163,82.4,86.0,87.5,61.1,1.2,6.6,77.3,1,B+
164,52.7,60.4,51.8,78.8,3.9,4.25,55.8,1,C
165,79.5,80.8,80.3,61.6,7.7,6.35,71.0,1,B+
166,71.2,84.7,80.6,68.9,23.7,8.19,75.3,1,B+
167,77.3,73.9,87.9,60.1,8.8,6.55,69.6,1,B
168,93.5,100.0,99.9,84.8,13.1,6.63,97.0,1,A+
169,61.3,63.0,64.7,87.9,14.4,8.48,63.5,1,B
170,53.7,44.3,48.6,71.5,12.8,5.93,57.7,1,C
171,51.7,54.7,56.0,75.6,11.5,4.69,62.1,1,B
172,52.8,49.4,60.6,53.3,4.8,6.76,52.5,1,C
173,63.8,72.5,69.8,70.5,20.7,6.27,62.2,1,B
174,70.1,66.9,69.1,74.2,22.8,5.55,57.0,1,C
175,69.2,67.6,64.1,100.0,1.9,6.74,59.6,1,C
176,77.4,64.3,57.4,58.3,5.9,7.74,56.1,1,C
177,65.2,63.6,60.9,97.0,10.3,6.99,71.6,1,B+
178,86.8,69.4,70.2,90.0,6.2,7.46,74.0,1,B+
179,61.0,50.3,48.7,79.2,15.0,9.72,58.7,1,C
180,100.0,100.0,96.8,100.0,7.6,6.49,81.9,1,A
181,74.4,82.7,75.3,80.6,25.0,7.42,70.1,1,B+
182,52.1,57.5,58.0,80.8,19.1,6.24,62.3,1,B
183,48.9,43.2,35.2,74.2,13.3,5.73,46.6,1,D
184,72.2,73.8,79.4,93.4,18.2,6.12,73.8,1,B+
185,61.6,63.6,65.1,91.4,18.6,6.28,67.8,1,B
186,75.7,68.4,60.7,65.6,8.6,7.54,73.6,1,B+
187,72.1,86.1,85.2,55.2,7.1,10.0,75.2,1,B+
188,63.9,72.9,69.4,72.0,12.5,5.93,66.8,1,B
189,52.3,52.5,55.4,63.0,17.2,6.38,55.0,1,C
190,42.3,44.5,53.5,74.0,12.8,6.91,61.8,1,B
191,58.3,62.0,51.7,93.6,2.5,7.59,48.5,1,D
192,77.8,63.5,65.2,68.1,7.2,7.4,69.5,1,B
193,68.2,68.2,68.2,74.4,11.6,8.93,67.1,1,B
194,46.3,42.8,47.8,75.9,11.5,3.36,49.9,1,D
195,67.6,61.6,63.9,87.7,23.8,3.42,61.0,1,B
196,70.8,70.6,67.1,41.3,3.7,6.26,62.9,1,B
197,51.7,68.1,67.2,65.9,15.0,8.65,66.1,1,B
198,67.3,74.4,70.6,78.2,20.9,4.65,84.4,1,A
199,65.9,63.3,70.8,93.0,25.6,2.49,70.7,1,B+
200,47.9,54.5,55.6,67.6,9.6,7.86,49.7,1,D
201,70.4,83.6,96.0,46.9,14.9,7.37,75.0,1,B+
202,73.4,82.8,83.4,84.3,15.4,5.36,74.5,1,B+
203,81.2,83.7,80.4,65.5,13.2,5.52,67.0,1,B
204,80.8,77.6,69.5,57.2,11.4,5.55,68.4,1,B
205,44.3,51.9,42.1,65.6,14.6,7.17,51.9,1,C
206,50.9,56.0,47.5,72.2,0.0,6.06,44.9,1,D
207,72.7,81.9,84.5,65.9,16.1,7.74,81.3,1,A
208,72.7,79.8,83.9,41.9,12.8,2.72,72.6,1,B+
209,72.7,83.1,74.6,88.5,10.7,5.71,70.4,1,B+
210,100.0,97.7,100.0,94.1,24.3,5.31,93.2,1,A+
211,73.6,86.1,84.2,84.8,8.0,6.62,85.8,1,A
212,82.0,85.6,87.5,57.9,9.6,6.19,81.7,1,A
213,79.3,97.9,100.0,72.0,23.9,8.2,88.0,1,A
214,74.8,71.3,77.7,74.9,7.0,4.21,68.9,1,B
215,60.3,76.2,75.6,84.0,8.7,7.07,70.0,1,B+
216,76.4,80.0,75.7,85.0,11.1,7.84,72.8,1,B+
217,53.4,50.2,38.3,64.0,17.0,9.78,39.9,0,F
218,61.4,59.5,56.2,76.2,13.2,6.28,69.4,1,B
219,57.7,57.1,56.8,81.9,4.2,7.49,58.9,1,C
220,66.2,71.6,66.7,96.8,8.8,4.29,69.2,1,B
221,99.7,100.0,100.0,85.6,8.4,3.41,90.7,1,A+
222,37.0,34.4,35.9,86.8,11.5,8.27,38.9,0,F
223,75.3,77.1,76.8,76.3,14.6,6.99,72.8,1,B+
224,40.8,59.9,57.0,96.2,14.5,8.77,49.7,1,D
225,57.9,73.7,75.7,81.1,1.3,4.94,77.7,1,B+
226,81.3,86.8,90.5,62.1,18.4,7.78,74.9,1,B+
227,66.0,68.3,62.8,96.1,13.5,9.8,63.1,1,B
228,48.8,51.8,61.3,85.5,20.3,7.63,55.7,1,C
229,54.3,61.2,61.6,68.4,14.7,7.41,65.8,1,B
230,75.2,69.0,70.1,67.8,18.6,7.01,69.3,1,B
231,54.0,53.9,59.1,79.4,14.8,4.64,50.3,1,C
232,68.2,56.9,59.3,81.9,20.1,9.03,70.1,1,B+
233,65.7,70.9,77.6,78.0,15.1,6.08,73.4,1,B+
234,55.2,62.4,65.1,79.7,11.4,7.76,64.6,1,B
235,97.2,95.3,92.6,100.0,25.6,4.66,94.4,1,A+
236,74.5,89.1,92.3,91.1,17.3,5.23,94.0,1,A+
237,34.6,26.8,20.9,77.9,15.4,9.15,46.5,1,D
238,67.8,58.1,59.8,89.1,4.3,6.48,58.6,1,C
239,55.1,58.9,59.7,59.5,4.3,9.18,65.5,1,B
240,77.8,88.2,88.0,81.0,13.8,6.88,82.7,1,A
241,53.1,68.6,68.8,100.0,12.9,4.24,67.0,1,B
242,63.3,61.6,51.3,71.7,8.3,8.34,50.3,1,C
243,72.6,83.2,80.9,62.3,12.8,6.12,72.9,1,B+
244,78.0,79.7,81.3,65.2,21.5,8.05,72.4,1,B+
245,47.0,47.6,49.6,58.7,16.2,7.04,53.7,1,C
246,60.0,69.1,63.9,63.2,5.2,4.69,66.0,1,B
247,57.9,65.1,73.7,69.4,11.3,7.25,54.2,1,C
248,55.2,44.6,40.4,53.9,7.2,10.0,48.1,1,D
249,91.5,100.0,100.0,75.2,9.7,7.74,95.8,1,A+
250,71.1,84.1,87.7,88.5,9.5,6.91,77.4,1,B+
251,46.1,43.1,40.2,61.4,9.1,8.61,49.4,1,D
252,78.8,84.0,95.7,97.8,4.5,7.32,85.1,1,A
253,96.8,100.0,93.8,82.7,11.2,7.31,92.1,1,A+
254,80.5,84.6,91.1,90.5,8.6,5.36,79.8,1,B+
255,42.2,39.8,46.8,65.1,0.0,7.35,38.6,0,F
256,57.7,54.3,51.3,87.8,24.3,8.55,53.3,1,C
257,84.0,85.8,95.2,58.6,18.5,5.75,85.1,1,A
258,54.4,65.8,65.3,88.4,9.7,9.14,64.1,1,B
259,71.7,78.0,80.7,77.6,12.1,6.86,73.3,1,B+
260,76.6,75.6,78.2,83.3,5.0,5.67,71.1,1,B+
261,51.1,59.3,59.5,57.4,22.2,8.5,56.1,1,C
262,64.1,43.3,49.2,61.6,23.4,6.57,58.6,1,C
263,16.4,27.6,33.4,84.0,12.9,8.14,33.1,0,F
264,49.6,37.7,28.2,60.8,18.1,6.56,34.7,0,F
265,61.2,60.3,69.1,81.9,13.1,6.91,67.8,1,B
266,46.3,39.3,30.3,54.5,4.0,7.74,39.2,0,F
267,89.5,81.1,88.3,87.7,9.5,7.44,82.7,1,A
268,43.5,54.8,62.6,56.5,12.8,4.01,60.3,1,B
269,58.4,56.7,51.2,83.3,9.3,5.32,56.0,1,C
270,67.0,71.8,70.3,84.4,10.7,8.39,70.9,1,B+
271,86.6,88.2,82.6,64.5,11.5,6.8,73.6,1,B+
272,43.5,49.3,49.0,83.7,11.5,6.21,49.4,1,D
273,82.4,85.0,84.2,78.9,12.3,4.96,81.8,1,A
274,65.2,56.9,62.6,66.9,5.6,5.38,51.5,1,C
275,50.3,60.3,69.2,59.9,7.7,3.97,58.2,1,C
276,71.9,69.9,79.3,45.6,4.3,6.85,68.2,1,B
277,68.0,57.5,55.1,80.2,17.9,6.1,61.0,1,B
278,56.0,54.6,54.3,51.5,0.0,5.55,57.1,1,C
279,66.0,80.0,70.9,76.4,18.9,6.9,72.4,1,B+
280,59.2,68.0,64.2,71.0,20.3,7.55,71.4,1,B+
281,66.7,65.9,72.7,85.2,10.2,10.0,64.5,1,B
282,74.9,74.1,84.8,70.5,0.0,4.73,72.8,1,B+
283,88.8,88.2,81.8,70.1,9.8,8.74,81.6,1,A
284,46.4,65.0,62.4,86.0,11.6,8.46,55.2,1,C
285,97.0,100.0,100.0,80.0,5.9,5.83,95.5,1,A+
286,35.7,41.1,43.8,79.7,8.9,7.3,56.5,1,C
287,62.7,72.9,69.0,82.0,21.2,6.31,68.0,1,B
288,73.8,77.7,81.2,52.0,16.0,7.28,75.2,1,B+
289,69.2,69.1,67.3,86.4,6.5,9.26,69.1,1,B
290,55.7,56.1,57.0,84.2,2.4,7.91,54.1,1,C
291,61.9,63.3,67.6,59.7,10.0,7.76,53.3,1,C
292,57.6,59.3,60.3,71.3,10.7,6.35,55.2,1,C
293,56.2,64.0,62.4,74.4,15.0,4.77,53.1,1,C
294,77.7,80.1,80.4,73.0,8.8,6.69,83.6,1,A
295,70.4,78.3,78.8,80.0,15.1,8.81,74.2,1,B+
296,54.6,56.0,54.8,96.5,23.6,4.71,56.7,1,C
297,78.5,81.1,80.5,91.2,16.9,5.42,82.0,1,A
298,69.6,55.6,66.2,55.3,11.7,7.19,55.8,1,C
299,77.2,86.5,90.9,84.3,10.9,5.52,76.6,1,B+
300,74.4,79.2,78.4,94.9,9.9,5.81,75.6,1,B+
301,52.6,62.6,67.8,80.8,19.1,6.36,67.5,1,B
302,56.6,35.4,34.4,91.4,8.2,4.95,48.3,1,D
303,76.2,94.9,100.0,100.0,12.3,5.54,88.0,1,A
304,74.2,75.1,78.3,90.4,12.3,8.06,75.5,1,B+
305,64.7,75.6,76.0,78.7,9.0,5.04,71.2,1,B+
306,66.8,60.5,64.2,90.7,3.8,4.6,63.8,1,B
307,84.2,91.1,82.7,77.2,13.9,6.05,75.6,1,B+
308,56.1,49.7,43.9,75.4,11.6,8.1,52.6,1,C
309,73.2,70.2,64.0,69.7,15.0,6.7,61.5,1,B
310,62.0,79.3,81.2,98.5,8.8,6.3,74.0,1,B+
311,61.7,62.2,73.6,62.7,19.3,7.07,62.4,1,B
312,81.5,85.2,99.6,98.0,6.7,4.38,96.9,1,A+
313,77.4,86.4,91.2,82.5,22.3,7.74,82.5,1,A
314,77.2,83.2,87.2,54.0,1.5,7.58,68.6,1,B
315,84.6,87.8,78.0,80.5,14.6,6.39,78.5,1,B+
316,65.3,70.2,67.9,43.5,14.9,8.51,66.9,1,B
317,75.2,96.4,92.7,84.4,7.2,5.31,90.9,1,A+
318,60.3,61.8,59.1,88.3,14.5,8.69,59.9,1,C
319,69.9,73.5,73.5,66.1,19.7,7.23,62.2,1,B
320,63.0,73.4,71.6,76.9,0.0,6.5,70.6,1,B+
321,66.5,77.3,66.4,100.0,15.0,6.97,64.0,1,B
322,73.9,85.4,90.9,67.4,0.0,6.84,75.1,1,B+
323,52.7,59.8,54.4,59.1,6.2,8.83,54.1,1,C
324,96.4,89.3,91.7,97.2,21.8,5.38,88.2,1,A
325,49.9,65.0,78.4,100.0,8.5,5.86,69.5,1,B
326,46.8,39.6,35.1,75.1,5.0,8.55,41.0,1,D
327,82.4,86.8,72.6,90.2,10.8,6.11,75.9,1,B+
328,76.9,72.9,72.2,95.1,24.4,8.35,75.2,1,B+
329,74.4,75.9,83.5,63.9,1.0,9.55,74.6,1,B+
330,74.4,79.0,91.8,67.7,5.7,6.4,76.9,1,B+
331,64.8,69.4,63.0,93.5,21.0,8.02,70.1,1,B+
332,51.5,56.9,60.9,100.0,23.1,5.27,64.5,1,B
333,66.1,81.0,79.2,83.4,11.4,8.13,76.0,1,B+
334,54.8,60.4,60.8,61.8,4.6,7.3,59.6,1,C
335,79.6,79.6,96.5,100.0,24.6,7.71,77.2,1,B+
336,62.8,72.5,64.5,67.0,21.6,6.03,65.3,1,B
337,52.6,64.1,66.6,70.0,16.1,4.51,62.4,1,B
338,60.2,52.4,56.2,80.1,7.1,7.75,61.2,1,B
339,71.2,78.0,85.5,98.3,11.7,3.9,72.4,1,B+
340,56.5,64.1,65.7,87.8,11.0,6.52,59.7,1,C
341,52.7,52.3,55.1,81.2,14.0,8.41,53.6,1,C
342,68.7,81.7,80.4,81.9,20.7,7.29,78.3,1,B+
343,68.7,69.5,72.1,75.7,17.3,9.92,75.6,1,B+
344,57.4,60.4,59.3,83.4,5.5,8.54,58.4,1,C
345,57.9,58.5,63.2,37.1,20.3,6.02,61.3,1,B
346,68.5,70.6,69.4,70.6,13.9,7.04,68.2,1,B
347,43.3,36.5,39.8,78.6,16.1,6.93,44.2,1,D
348,43.9,34.4,35.2,57.7,20.8,4.63,39.2,0,F
349,54.2,69.0,76.8,80.8,5.3,5.59,69.0,1,B
350,61.8,57.0,57.7,71.9,11.8,6.16,60.1,1,B
351,69.7,63.8,54.2,100.0,8.8,3.95,73.9,1,B+
352,87.1,71.9,80.5,98.6,2.6,7.07,73.3,1,B+
353,77.9,74.8,70.4,68.0,14.1,6.63,73.4,1,B+
354,62.6,54.0,51.1,72.7,27.1,4.49,54.1,1,C
355,64.7,79.8,77.2,73.9,1.0,7.61,66.2,1,B
356,50.0,60.1,69.3,68.2,11.8,8.07,60.3,1,B
357,64.7,61.2,49.4,77.9,15.8,7.34,60.0,1,B
358,60.7,80.7,100.0,63.6,12.7,6.51,90.8,1,A+
359,69.8,79.7,87.0,58.0,11.3,7.89,73.4,1,B+
360,52.6,52.0,54.3,84.3,4.2,8.02,49.6,1,D
361,72.8,54.8,55.5,84.4,13.4,7.46,63.4,1,B
362,88.0,100.0,100.0,62.9,7.5,5.76,76.5,1,B+
363,63.4,54.3,58.4,88.4,0.0,7.41,59.0,1,C
364,71.0,59.8,64.7,65.5,19.2,8.79,65.1,1,B
365,75.4,85.6,89.9,78.8,17.8,6.11,83.9,1,A
366,59.0,80.5,82.0,87.3,12.3,10.0,79.3,1,B+
367,68.4,81.5,81.3,74.5,13.4,6.21,71.2,1,B+
368,65.2,71.7,71.8,81.8,18.4,7.05,68.6,1,B
369,66.5,73.3,73.1,67.3,13.3,5.99,64.1,1,B
370,53.4,62.2,70.0,72.1,17.4,7.33,56.9,1,C
371,65.4,73.5,78.1,71.9,10.2,4.39,70.1,1,B+
372,72.5,76.7,60.1,63.8,19.9,6.18,60.4,1,B
373,86.8,89.6,94.5,72.3,13.9,5.36,81.7,1,A
374,79.4,80.9,83.1,51.8,13.2,7.2,70.1,1,B+
375,97.3,93.3,94.2,67.6,4.4,8.49,90.1,1,A+
376,53.5,53.3,52.0,70.7,13.7,7.97,63.7,1,B
377,78.1,66.6,74.3,71.2,7.0,3.44,61.5,1,B
378,67.8,69.0,75.7,71.4,8.2,10.0,60.6,1,B
379,97.8,91.9,88.3,74.1,7.1,7.44,85.1,1,A
380,52.9,46.1,49.5,82.2,5.6,5.84,51.4,1,C
381,52.4,55.8,51.0,88.1,24.7,7.24,58.3,1,C
382,56.0,69.1,61.8,65.3,20.0,7.26,59.7,1,C
383,33.1,42.4,39.6,57.0,23.5,6.0,40.8,1,D
384,57.1,46.5,52.7,59.4,4.7,7.3,53.6,1,C
385,53.6,47.7,54.4,67.7,12.4,6.09,57.9,1,C
386,67.3,76.8,80.9,69.7,4.2,6.39,61.1,1,B
387,70.1,64.2,69.6,63.5,7.8,5.97,62.7,1,B
388,93.1,93.3,97.4,55.6,6.5,4.85,85.5,1,A
389,79.3,85.7,82.9,68.2,19.4,7.22,73.9,1,B+
390,56.3,50.6,54.2,77.7,9.6,7.88,64.3,1,B
391,51.5,54.3,60.1,83.9,18.4,7.77,55.4,1,C
392,72.4,63.7,69.2,66.6,15.6,8.23,66.9,1,B
393,45.2,42.4,50.5,68.8,25.8,7.49,53.0,1,C
394,92.5,97.1,100.0,61.1,3.1,6.2,84.0,1,A
395,82.7,72.0,75.1,74.5,19.6,8.26,65.5,1,B
396,58.0,63.5,70.9,62.3,18.9,4.96,60.1,1,B
397,39.3,41.1,41.9,83.6,6.2,5.65,49.6,1,D
398,85.3,91.7,87.4,48.2,18.0,5.55,78.2,1,B+
399,63.3,67.1,67.1,69.6,14.0,8.62,61.2,1,B
400,83.6,96.5,93.0,79.5,10.6,8.41,90.8,1,A+
401,41.1,44.1,41.0,77.8,7.1,7.73,44.3,1,D
402,56.0,54.6,54.7,100.0,7.7,8.61,56.6,1,C
403,65.1,68.1,64.3,80.2,24.3,5.68,66.6,1,B
404,65.7,72.0,71.2,59.9,12.0,7.52,70.6,1,B+
405,58.2,60.6,50.2,73.6,16.7,6.81,69.1,1,B
